index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
111,CHEMBL1446122,CCOc1ccc(-c2csc(Nc3ccc(C#N)cc3)n2)cc1,50000.0,inactive
112,CHEMBL1314351,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1C,50000.0,inactive
113,CHEMBL1516388,CC(=O)O.Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,15540.0,inactive
114,CHEMBL1418796,CC(=O)Oc1cc2c3c(c1)/C(=C1/SC(=S)NC1=O)C(=O)N3C(C)(C)C=C2C,50000.0,inactive
115,CHEMBL239103,NS(=O)(=O)c1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,50000.0,inactive
116,CHEMBL1399109,O=C(CCl)Nc1nc(-c2ccco2)c(-c2ccco2)s1,50000.0,inactive
117,CHEMBL1458321,O=C(NC1(O)C(=O)c2ccccc2C1=O)c1c(Cl)cccc1Cl,50000.0,inactive
118,CHEMBL1329974,O=C(O)CSc1cc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc2c1O,17430.0,inactive
119,CHEMBL1575869,CCCCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc21,50000.0,inactive
120,CHEMBL3193664,Oc1ccc(/C=N/Nc2ccnc3cc(Cl)ccc23)cc1O,50000.0,inactive
121,CHEMBL1989852,COc1ccc2ccccc2c1/C=N/NC(=O)c1sc(N)c(C#N)c1C,50000.0,inactive
122,CHEMBL1529285,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,50000.0,inactive
123,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,50000.0,inactive
124,CHEMBL591404,N=C(N)N/N=C/c1ccc(OCc2ccc(Cl)cc2Cl)cc1,50000.0,inactive
125,CHEMBL1499658,COc1cccc(-n2c(SCc3cc(=O)oc4cc(O)c(O)cc34)nc3ccccc3c2=O)c1,50000.0,inactive
126,CHEMBL2001831,O=C(CCl)c1c[nH]c(/C=N/Nc2ccccc2Cl)c1,50000.0,inactive
127,CHEMBL1302170,O=S(=O)(Nc1cc2nc3ccccc3nc2n1Cc1ccccc1)c1ccc(Cl)cc1,50000.0,inactive
128,CHEMBL463175,CC1CC(=O)c2c(cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)CC6=O)c(O)cc(O)c3c2O)O1,50000.0,inactive
129,CHEMBL1333429,COC(=O)c1ccccc1NC(=S)NC(=O)c1ccccc1C,50000.0,inactive
130,CHEMBL1517,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,50000.0,inactive
131,CHEMBL1972037,NS(=O)(=O)c1ccc(N/N=C/c2ccc(O)c(O)c2O)c([N+](=O)[O-])c1,50000.0,inactive
132,CHEMBL1303508,O=C1NC(=S)S/C1=C\c1c(-c2ccccc2)[nH]c2ccccc12,50000.0,inactive
133,CHEMBL601757,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,50000.0,inactive
134,CHEMBL1462375,Cc1[nH]c2ccccc2c1C(=O)CCl,50000.0,inactive
