,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
25,25,CHEMBL1082184,Oc1ccc(Nc2ncc(-c3ccc(N4CCOCC4)cc3)o2)cc1,active,337.379,3.6274000000000024,2.0,6.0,6.886056647693163
26,26,CHEMBL1082029,CCN(CC)c1ccc(-c2cnc(Nc3ccc(O)cc3)o2)cc1,active,323.396,4.637000000000005,2.0,5.0,6.638272163982407
27,27,CHEMBL1318338,CCOC(=O)/C(C#N)=C/c1c2ccccc2cc2ccccc12,inactive,301.345,4.463080000000003,0.0,3.0,4.301029995663981
28,28,CHEMBL1446122,CCOc1ccc(-c2csc(Nc3ccc(C#N)cc3)n2)cc1,inactive,321.405,4.824080000000004,1.0,5.0,4.301029995663981
29,29,CHEMBL1355382,CCOC(=O)/C(C#N)=C/c1ccc(F)cc1[N+](=O)[O-],inactive,264.212,2.2039800000000005,0.0,5.0,4.301029995663981
30,30,CHEMBL1593304,N#Cc1ccc(Nc2nc(-c3ccc(C#N)cc3)cs2)cc1,inactive,302.362,4.297060000000001,1.0,5.0,4.301029995663981
31,31,CHEMBL1434737,N#C/C=C/c1ccccc1Nc1ccc(S(N)(=O)=O)cc1,inactive,299.355,2.6143799999999997,2.0,4.0,4.301029995663981
32,32,CHEMBL1484797,CCOC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])cc1,inactive,246.222,2.06488,0.0,5.0,4.301029995663981
33,33,CHEMBL1373154,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1CCc1ccccc1,inactive,398.5350000000002,6.086420000000006,1.0,5.0,4.301029995663981
34,34,CHEMBL1364907,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1Cc1ccccc1,inactive,384.50800000000015,5.892020000000005,1.0,5.0,4.301029995663981
35,35,CHEMBL1593230,N#Cc1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,intermediate,309.35,3.8365800000000005,3.0,6.0,5.326702560240364
